Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
BIMETAL,Bimetal Bearings Limited,9.1,8.67,-5.72,-4.59,0.0
BIOCON,Biocon Limited,-4.67,3.43,1.08,1.32,0.0
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,19.48,-17.37,9.79,10.11,1.7
BIRLACABLE,Birla Cable Limited,-0.89,-3.57,9.42,9.28,4.3
BIRLACORPN,Birla Corporation Limited,7.19,-13.22,8.46,7.78,0.0
BIRLAMONEY,Aditya Birla Money Limited,-1.12,-10.21,7.78,7.6,0.0
BIRLANU,BirlaNu Limited,-5.09,-4.79,1.94,1.85,0.0
BIRLAPREC,Birla Precision Technologies Limited,-8.49,-4.74,7.49,3.4,0.0
BLACKBUCK,BLACKBUCK LIMITED,13.4,-8.7,-6.05,-2.21,0.0
BLACKROSE,Black Rose Inds. Limited,10.35,-2.94,-3.75,-2.74,0.0
BLAL,BEML Land Assets Limited,23.15,-5.82,-8.55,-2.54,0.0
BLBLIMITED,BLB Limited,3.16,-14.58,5.99,6.74,0.0
BLIL,Balmer Lawrie Investments Limited,16.06,-13.93,-4.41,-1.17,-6.4
BLISSGVS,Bliss GVS Pharma Limited,-17.01,14.25,5.56,4.42,-8.3
BLKASHYAP,B. L. Kashyap and Sons Limited,-21.29,17.51,11.93,9.16,0.0
BLS,BLS International Services Limited,-4.99,8.21,10.27,5.4,-12.1
BLSE,BLS E-Services Limited,7.18,0.72,-0.87,-1.23,0.0
BLUECHIP,Blue Chip India Limited,8.13,-0.74,5.22,0.49,4.9
BLUECOAST,Blue Coast Hotels Limited,-5.36,1.1,0.25,1.94,0.0
BLUEDART,Blue Dart Express Limited,-0.98,14.61,-0.23,-1.41,0.0
BLUEJET,Blue Jet Healthcare Limited,18.12,-12.46,-0.07,1.98,0.0
BLUESTARCO,Blue Star Limited,3.83,9.93,-2.12,-2.13,0.0
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,-12.38,12.46,1.1,1.08,0.0
BLUSPRING,Bluspring Enterprises Limited,-1.84,2.23,7.79,4.64,0.0
BMWVENTLTD,BMW Ventures Limited,14.01,-16.35,-3.94,-3.37,0.0
BNAGROCHEM,BN Agrochem Limited,-2.81,17.48,-4.31,-1.48,0.0
BNALTD,B & A Limited,10.05,-11.58,0.68,4.62,0.0
BODALCHEM,Bodal Chemicals Limited,3.34,1.92,-6.38,-3.57,-8.5
BOHRAIND,Bohra Industries Limited,-6.29,-7.11,0.69,-1.18,0.0
BOMDYEING,Bombay Dyeing & Mfg Company Limited,0.57,1.97,-2.63,-0.72,0.0
BONLON,Bonlon Industries Limited,-3.6,-3.82,-2.58,-1.51,0.0
BORANA,Borana Weaves Limited,-2.24,-3.19,11.48,8.11,0.0
BOROLTD,Borosil Limited,14.65,-19.47,-2.38,-0.26,0.0
BORORENEW,BOROSIL RENEWABLES LIMITED,16.41,4.27,-12.68,-7.34,0.0
BOROSCI,Borosil Scientific Limited,-4.02,13.07,5.03,5.25,4.7
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,-8.85,-3.34,7.06,6.09,0.0
BOSCHLTD,Bosch Limited,4.35,6.32,2.71,1.92,0.0
BPCL,Bharat Petroleum Corporation Limited,-9.45,3.43,2.59,2.87,0.0
BPL,BPL Limited,-6.26,-6.13,11.61,8.28,0.0
BRIGADE,Brigade Enterprises Limited,2.85,-3.41,13.59,6.72,12.3
BRIGHOTEL,Brigade Hotel Ventures Limited,-15.32,11.01,4.34,1.09,0.0
BRITANNIA,Britannia Industries Limited,-4.7,5.32,-3.02,-3.66,0.0
BRNL,Bharat Road Network Limited,-1.04,16.9,-5.33,-5.54,0.0
BROOKS,Brooks Laboratories Limited,3.42,-2.63,3.22,-0.29,-5.4
BSE,BSE Limited,4.89,-1.57,4.75,5.53,-10.0
BSHSL,Bombay Super Hybrid Seeds Limited,-4.78,12.04,-11.2,-7.64,8.2
BSL,BSL Limited,8.51,-3.39,-3.87,-1.37,-2.8
BSOFT,BIRLASOFT LIMITED,1.77,7.08,-0.96,-4.19,0.0
BTML,Bodhi Tree Multimedia Limited,-1.95,0.16,-5.89,-4.54,0.0
BTTL,Bhilwara Technical Textiles Limited,-2.5,6.89,-8.68,-4.93,0.0
BUILDPRO,Shankara Buildpro Limited,2.89,5.52,-0.71,-2.04,0.0
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,-14.93,9.02,4.97,0.02,0.0
BVCL,Barak Valley Cements Limited,-6.68,5.73,-0.81,-0.81,7.2
BYKE,The Byke Hospitality Ltd,17.78,-6.58,-8.82,-2.12,0.0
CALSOFT,California Software Company Limited,3.37,-11.99,-0.22,-0.86,0.0
CAMLINFINE,Camlin Fine Sciences Limited,12.25,-11.4,-3.22,-4.68,0.0
CAMPUS,Campus Activewear Limited,7.74,-12.58,2.07,-1.21,-1.2
CAMS,Computer Age Management Services Limited,-4.1,-6.01,2.05,-1.74,11.8
CANBK,Canara Bank,-8.2,-11.05,19.96,10.14,0.0
CANFINHOME,Can Fin Homes Limited,4.34,2.95,0.01,2.74,0.0
CANHLIFE,Canara HSBC Life Insurance Company Limited,-29.12,5.6,8.34,3.8,11.8
CANTABIL,Cantabil Retail India Limited,3.96,-5.98,6.2,4.29,0.0
CAPACITE,Capacit'e Infraprojects Limited,-8.57,-12.68,4.38,2.82,0.0
CAPILLARY,Capillary Technologies India Limited,-0.66,10.73,-10.04,-6.86,0.0
CAPITALSFB,Capital Small Finance Bank Limited,11.69,-9.21,-4.05,-2.04,0.0
CAPLIPOINT,Caplin Point Laboratories Limited,-3.59,-0.41,4.07,1.88,11.4
CAPTRUST,Capital Trust Limited,-3.46,8.32,1.36,-0.04,0.0
CARBORUNIV,Carborundum Universal Limited,8.19,-5.01,8.47,8.06,0.0
CARERATING,CARE Ratings Limited,13.81,-16.23,8.69,8.18,-6.7
CARRARO,Carraro India Limited,-0.84,11.08,-8.56,-3.43,0.0
CARTRADE,Cartrade Tech Limited,13.52,-12.76,0.14,0.43,0.0
CARYSIL,CARYSIL LIMITED,-18.13,-9.06,13.47,10.23,-2.0
CASTROLIND,Castrol India Limited,9.82,-3.94,-7.09,-7.59,0.0
CCAVENUE,AvenuesAI Limited,-2.4,-16.73,12.42,6.83,0.0
CCCL,Consolidated Construction Consortium Limited,-9.33,18.07,-14.31,-9.02,0.0
CCHHL,Country Club Hospitality & Holidays Limited,9.93,-5.29,-4.2,-1.66,-5.1
CCL,CCL Products (India) Limited,-3.3,5.33,-2.22,-4.56,0.0
CDSL,Central Depository Services (India) Limited,10.33,3.39,-3.83,-1.47,-4.9
CEATLTD,CEAT Limited,-27.99,9.84,4.86,4.55,0.0
CEIGALL,Ceigall India Limited,19.64,-12.06,-3.35,0.11,8.3
CEINSYS,Ceinsys Tech Limited,-3.36,-10.81,0.75,0.93,-0.4
CELEBRITY,Celebrity Fashions Limited,7.7,-6.1,1.12,0.75,-0.2
CELLO,Cello World Limited,10.96,6.6,-5.89,-3.3,0.0
CEMPRO,Cemindia Projects Limited,-12.22,-6.37,1.45,0.58,0.0
CENTENKA,Century Enka Limited,-2.24,9.08,-3.28,-0.82,0.0
CENTEXT,Century Extrusions Limited,29.69,-7.87,-4.26,-1.63,0.0
CENTRALBK,Central Bank of India,7.19,0.73,-15.34,-6.71,10.0
CENTRUM,Centrum Capital Limited,9.38,-12.21,4.97,3.69,0.0
CENTUM,Centum Electronics Limited,18.12,-7.71,-8.8,-6.51,-2.3
CENTURYPLY,Century Plyboards (India) Limited,8.56,5.6,-6.55,-4.87,0.0
CERA,Cera Sanitaryware Limited,20.89,-9.82,-3.97,-2.85,0.0
CEREBRAINT,Cerebra Integrated Technologies Limited,3.3,8.94,3.78,3.61,0.0
CESC,CESC Limited,-4.58,-3.5,3.6,1.99,0.0
CEWATER,Concord Enviro Systems Limited,-1.84,-3.33,-0.05,-2.83,-6.8
CGCL,Capri Global Capital Limited,-7.33,-7.21,-0.11,0.04,0.0
CGPOWER,CG Power and Industrial Solutions Limited,8.64,-5.27,-2.61,-1.52,-12.2
CHALET,Chalet Hotels Limited,2.6,6.15,-8.92,-5.53,-6.1
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,9.43,5.21,-8.46,-2.19,0.0
CHEMBOND,Chembond Material Technologies Limited,20.07,0.88,-6.16,-3.29,0.0
CHEMBONDCH,Chembond Chemicals Limited,-9.94,-1.93,1.91,1.21,0.0
CHEMCON,Chemcon Speciality Chemicals Limited,5.3,-9.54,2.18,3.01,-14.2
CHEMFAB,Chemfab Alkalis Limited,30.27,-18.17,-18.75,-8.69,0.0
CHEMPLASTS,Chemplast Sanmar Limited,0.95,-0.11,-0.61,0.6,0.0
CHENNPETRO,Chennai Petroleum Corporation Limited,-2.34,-2.48,10.22,6.34,0.0
CHEVIOT,Cheviot Company Limited,-4.87,11.74,-2.28,-1.1,0.0
CHOICEIN,Choice International Limited,20.06,0.29,-12.95,-9.36,0.0
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,12.14,-4.25,-2.1,-1.97,0.0
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,9.08,3.81,-7.1,-7.9,0.0
CIEINDIA,CIE Automotive India Limited,8.81,-5.47,-4.47,-0.44,-1.9
CIFL,Capital India Finance Limited,13.63,-11.52,-0.23,-0.01,0.0
CINELINE,Cineline India Limited,-12.04,10.85,2.91,-0.97,0.0
CINEVISTA,Cinevista Limited,-12.33,5.89,6.52,5.1,0.0
CIPLA,Cipla Limited,13.76,-8.65,3.18,0.03,0.0
CLCIND,CLC Industries Limited,-13.53,7.06,0.03,-1.24,0.0
CLEAN,Clean Science and Technology Limited,4.81,-6.34,-1.23,-3.31,-11.9
CLEANMAX,Clean Max Enviro Energy Solutions Limited,-9.69,10.69,-4.4,-7.19,0.0
CLEDUCATE,CL Educate Limited,6.15,-16.28,-1.31,2.15,0.0
CLSEL,Chaman Lal Setia Exports Limited,-19.73,4.95,9.87,5.01,-9.3
CMICABLES,CMI Limited,2.9,-1.94,4.02,2.31,0.0
CMPDI,Central Mine Planning & Design Institute Limited,-29.22,12.72,2.03,0.8,0.0
CMRGREEN,CMR Green Technologies Limited,0.62,0.91,2.1,2.79,0.0
CMSINFO,CMS Info Systems Limited,-7.25,6.47,-4.67,-3.49,10.1
CNL,Creative Newtech Limited,-15.56,2.63,2.1,3.53,3.1
COALINDIA,Coal India Limited,-16.38,15.69,3.3,0.36,0.0
COASTCORP,Coastal Corporation Limited,14.03,-4.27,-11.5,-8.61,0.0
COCHINSHIP,Cochin Shipyard Limited,24.61,-5.4,0.18,0.87,0.0
COCKERILL,John Cockerill India Limited,8.27,-9.15,-5.08,-1.52,9.6
COFFEEDAY,Coffee Day Enterprises Limited,17.82,-8.51,2.59,-0.01,0.0
COFORGE,Coforge Limited,5.27,-5.42,-2.57,3.44,0.0
COHANCE,Cohance Lifesciences Limited,0.48,5.49,-12.38,-5.78,3.8
COLPAL,Colgate Palmolive (India) Limited,4.49,2.48,0.73,2.24,0.0
COMFINTE,Comfort Intech Limited,2.2,9.87,-4.34,-1.54,0.0
COMPINFO,Compuage Infocom Limited,-16.96,15.72,0.18,-1.04,0.0
COMPUSOFT,Compucom Software Limited,7.65,1.27,-9.23,-6.42,0.0
COMSYN,Commercial Syn Bags Limited,-1.09,1.61,-6.34,-3.4,0.0
CONCOR,Container Corporation of India Limited,-36.22,11.97,12.11,6.28,0.0
CONCORDBIO,Concord Biotech Limited,-12.12,0.94,0.81,-0.33,0.0
CONFIPET,Confidence Petroleum India Limited,-2.43,11.43,-1.94,-2.35,9.6
CONSOFINVT,Consolidated Finvest & Holdings Limited,-16.94,14.8,-8.41,-8.93,0.0
CONTROLPR,Control Print Limited,8.25,-13.65,-0.26,3.77,0.0
CORALFINAC,Coral India Finance & Housing Limited,-1.71,4.6,-3.69,-2.25,0.0
CORDELIA,Waterways Leisure Tourism Limited,0.11,-1.51,-4.18,-1.83,0.0
CORDSCABLE,Cords Cable Industries Limited,15.06,-3.95,0.55,0.22,0.0
COROMANDEL,Coromandel International Limited,0.78,-1.47,-3.49,-1.54,8.2
CORONA,CORONA Remedies Limited,3.82,-7.35,3.16,1.06,-8.9
COSMOFIRST,COSMO FIRST LIMITED,-3.55,7.31,-6.05,-4.59,0.0
COUNCODOS,Country Condo's Limited,4.47,-14.1,-2.75,1.32,0.0
CPCAP,CP Capital Limited,17.33,-2.79,-2.64,-2.82,0.0
CPEDU,Career Point Edutech Limited,-2.18,7.5,-1.79,1.55,0.0
CPPLUS,Aditya Infotech Limited,0.02,2.06,-1.77,-2.93,12.1
CRAFTSMAN,Craftsman Automation Limited,35.24,-13.52,-15.39,-7.44,-0.9
CRAMC,Canara Robeco Asset Management Company Limited,-11.53,7.95,-2.3,-4.54,-11.4
CREATIVEYE,Creative Eye Limited,-0.6,7.08,-3.72,0.2,0.0
CREDITACC,CREDITACCESS GRAMEEN LIMITED,-6.65,6.4,2.46,-1.78,-3.1
CREST,Crest Ventures Limited,3.17,8.74,-7.69,-7.43,0.0
CRISIL,Crisil Limited,-3.44,5.63,-9.43,-6.5,0.0
CRIZAC,Crizac Limited,-8.57,11.64,-10.69,-5.97,0.0
CROMPTON,Crompton Greaves Consumer Electricals Limited,-10.26,2.43,-0.76,2.12,-4.7
CROWN,Crown Lifters Limited,-15.55,7.97,2.06,0.92,0.0
CSBBANK,CSB Bank Limited,-1.54,-7.04,3.15,-0.51,-5.3
CSLFINANCE,CSL Finance Limited,0.89,0.8,-6.14,-2.71,8.1
CSM,CSM Technologies Limited,-3.04,-3.15,-1.48,-0.9,0.0
CTE,Cambridge Technology Enterprises Limited,-17.75,12.69,-5.87,-5.51,0.0
CUB,City Union Bank Limited,19.87,-18.04,3.21,3.65,0.0
CUBEXTUB,Cubex Tubings Limited,3.06,3.93,-1.07,0.74,0.0
CUMMINSIND,Cummins India Limited,6.16,0.95,-7.11,-4.47,-5.2
CUPID,Cupid Limited,19.47,-5.01,-12.89,-7.87,9.8
CURAA,Cura Technologies Limited,-4.52,8.93,-2.38,-1.38,0.0
CYBERMEDIA,Cyber Media (India) Limited,-7.22,3.75,1.84,1.09,-12.7
CYBERTECH,Cybertech Systems And Software Limited,-16.53,9.96,3.85,0.9,0.0
CYIENT,Cyient Limited,7.13,-15.57,-3.43,-1.59,4.3
CYIENTDLM,Cyient DLM Limited,11.26,-11.67,3.75,2.31,0.0
DABUR,Dabur India Limited,5.65,-7.12,0.2,1.47,0.0
DAICHI,Dai-Ichi Karkaria Limited,-0.98,8.86,-5.03,-2.29,0.0
DALBHARAT,Dalmia Bharat Limited,-5.39,12.38,-0.46,-4.07,0.0
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,-15.64,7.42,0.47,-0.65,0.0
DAMCAPITAL,Dam Capital Advisors Limited,-12.27,-4.92,5.13,6.39,0.0
DAMODARIND,Damodar Industries Limited,3.64,-0.81,-1.66,-0.36,0.0
DANGEE,Dangee Dums Limited,-23.7,11.51,8.36,5.17,0.0
DATAMATICS,Datamatics Global Services Limited,15.27,-6.85,-8.23,-4.21,-8.9
DATAPATTNS,Data Patterns (India) Limited,-19.6,10.37,4.98,1.86,0.0
DAVANGERE,Davangere Sugar Company Limited,-1.79,-4.79,-7.72,-5.71,0.0
DBCORP,D.B.Corp Limited,4.29,-10.77,5.37,4.16,0.0
DBEIL,Deepak Builders & Engineers India Limited,2.05,-0.46,-11.96,-5.28,0.0
DBL,Dilip Buildcon Limited,-8.28,-5.5,4.13,3.85,0.0
DBOL,Dhampur Bio Organics Limited,-2.64,1.39,10.5,9.01,0.0
DBREALTY,Valor Estate Limited,-2.56,15.18,-4.93,-5.79,0.0
DBSTOCKBRO,DB (International) Stock Brokers Limited,-3.86,1.58,7.05,3.17,0.0
DCAL,Dishman Carbogen Amcis Limited,-2.94,1.46,-5.65,-0.52,5.0
DCBBANK,DCB Bank Limited,-13.17,1.61,2.73,4.53,0.0
DCI,Dc Infotech And Communication Limited,-2.23,3.89,-7.42,-7.74,7.9
DCM,DCM  Limited,-9.83,3.09,8.19,4.37,0.0
DCMFINSERV,DCM Financial Services Limited,-10.81,12.32,0.88,0.51,0.0
DCMNVL,DCM Nouvelle Limited,-6.25,8.09,-4.91,-4.8,12.8
DCMSHRIRAM,DCM Shriram Limited,-4.35,1.91,2.49,3.6,0.0
DCMSIL,DCM Shriram International Limited,-15.38,0.95,10.65,5.42,0.0
DCMSRIND,DCM Shriram Industries Limited,5.41,5.27,-0.24,-0.1,0.0
DCW,DCW Limited,3.91,2.75,-9.51,-6.47,-5.8
DCXINDIA,DCX Systems Limited,-22.4,9.54,-0.03,-1.49,0.0
DDEVPLSTIK,Ddev Plastiks Industries Limited,-12.3,-8.79,5.85,6.8,0.0
DECCANCE,Deccan Cements Limited,-25.58,-1.96,14.83,6.95,0.0
DECNGOLD,Deccan Gold Mines Limited,6.2,-12.61,2.68,4.9,0.0
DEEDEV,DEE Development Engineers Limited,8.13,8.19,-13.56,-6.67,0.0
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,3.61,-10.09,-0.01,-0.98,9.6
DEEPAKNTR,Deepak Nitrite Limited,-22.52,0.82,10.98,7.52,0.0
DEEPINDS,Deep Industries Limited,-10.73,3.33,8.03,7.45,0.0
DELHIVERY,Delhivery Limited,-8.8,0.58,-0.83,-1.21,0.0
DELPHIFX,DELPHI WORLD MONEY LIMITED,-1.44,0.83,7.47,5.93,0.0
DELTACORP,Delta Corp Limited,11.7,-13.63,-5.93,-1.65,0.0
DELTAMAGNT,Delta Manufacturing Limited,-11.3,-5.75,11.3,5.83,0.0
DEN,Den Networks Limited,3.02,-6.42,-0.13,0.43,2.4
DENORA,De Nora India Limited,1.77,-1.14,4.29,1.45,0.0
DENTA,Denta Water and Infra Solutions Limited,1.16,-1.27,8.15,5.59,0.0
DEVIT,Dev Information Technology Limited,19.82,-12.45,-6.11,-0.98,0.0
DEVX,Dev Accelerator Limited,5.82,-2.88,2.21,-0.6,0.0
DEVYANI,Devyani International Limited,2.51,-1.83,-6.62,-3.43,0.0
DGCONTENT,Digicontent Limited,1.75,-3.98,-6.83,-5.47,2.9
DHAMPURSUG,Dhampur Sugar Mills Limited,5.35,-12.27,2.49,0.74,0.0
DHANBANK,Dhanlaxmi Bank Limited,-6.67,14.71,-2.26,1.6,-7.9
DHANUKA,Dhanuka Agritech Limited,-2.3,6.74,-0.2,1.87,8.0
DHARAN,DHARAN INFRA-EPC LIMITED,11.66,-12.41,6.56,7.71,-14.1
DHARMAJ,Dharmaj Crop Guard Limited,-12.27,6.31,5.93,6.07,0.0
DHRUV,Dhruv Consultancy Services Limited,-5.64,-4.03,7.84,3.43,0.1
DHUNINV,Dhunseri Investments Limited,-21.7,10.46,3.1,4.07,0.0
DIACABS,Diamond Power Infrastructure Limited,11.97,7.49,-10.71,-4.92,-9.3
DIAMINESQ,Diamines & Chemicals Limited,2.58,11.71,-6.41,-2.63,0.0
DIAMONDYD,Prataap Snacks Limited,-14.18,0.53,2.77,5.67,0.0
DICIND,DIC India Limited,-3.41,1.19,6.87,4.36,-13.4
DIFFNKG,Diffusion Engineers Limited,-13.41,18.33,-1.92,-2.17,10.4
DIGIDRIVE,Digidrive Distributors Limited,4.4,-6.69,-6.19,-2.7,-2.5
DIGISPICE,DiGiSPICE Technologies Limited,15.93,0.69,-4.72,-1.93,0.0
DIGITIDE,Digitide Solutions Limited,1.61,13.68,-14.89,-11.49,0.0
DIGJAMLMTD,Digjam Limited,10.19,-11.92,1.1,0.97,0.0
DIL,Debock Industries Limited,17.44,3.49,-6.76,-5.34,0.0
DISAQ,Disa India Limited,-11.92,1.78,4.84,3.91,0.0
DISHTV,Dish TV India Limited,15.81,-8.71,-1.35,-4.95,0.0
DIVGIITTS,Divgi Torqtransfer Systems Limited,23.81,-23.5,15.35,10.14,-3.5
DIVISLAB,Divi's Laboratories Limited,-0.14,-3.07,-2.23,-0.2,0.0
DIXON,Dixon Technologies (India) Limited,1.91,-4.72,9.38,6.67,0.0
DJML,DJ Mediaprint & Logistics Limited,15.15,-24.0,6.81,4.3,0.0
DLF,DLF Limited,7.99,4.22,-9.94,-5.93,-11.1
DLINKINDIA,D-Link (India) Limited,14.71,-7.59,-2.92,-2.29,0.0
DMART,Avenue Supermarts Limited,1.59,-7.67,1.62,2.02,0.0
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,-0.26,-12.49,8.23,6.39,-14.2
DNAMEDIA,Diligent Media Corporation Limited,-9.14,2.73,2.51,3.11,-5.9
DODLA,Dodla Dairy Limited,1.04,9.36,-9.11,-8.32,-2.6
DOLATALGO,Dolat Algotech Limited,-7.54,3.78,4.36,-0.91,0.0
DOLLAR,Dollar Industries Limited,9.56,-3.7,3.07,2.13,0.0
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,-1.79,-1.09,11.22,6.69,0.0
DOMS,DOMS Industries Limited,-22.72,15.96,13.65,9.04,0.0
DONEAR,Donear Industries Limited,-8.18,-1.98,-2.17,-2.16,0.0
DPABHUSHAN,D. P. Abhushan Limited,1.42,-16.47,12.26,8.01,0.0
DPSCLTD,DPSC Limited,7.54,-6.87,-4.32,-1.47,0.0
DPWIRES,D P Wires Limited,3.33,-0.94,-0.73,2.64,0.0
DRAGARWQ,Dr Agarwals Eye Hospital Limited,15.76,-8.58,-2.33,-1.7,0.7
DRCSYSTEMS,DRC Systems India Limited,15.61,-4.23,0.41,-4.55,0.0
DREAMFOLKS,Dreamfolks Services Limited,-14.51,14.27,-0.95,0.34,0.0
DREDGECORP,Dredging Corporation of India Limited,-3.95,9.15,-2.31,-3.73,6.7
DRREDDY,Dr. Reddy's Laboratories Limited,-7.88,4.14,-3.69,-2.88,4.9
DSFCL,DCM Shriram Fine Chemicals Limited,24.55,-17.71,-2.48,-2.78,-1.8
DSSL,Dynacons Systems & Solutions Limited,-10.96,6.1,0.71,-1.24,0.0
DTIL,Dhunseri Tea & Industries Limited,-11.67,6.34,0.78,1.75,0.0
DUCON,Ducon Infratechnologies Limited,-5.42,1.35,3.76,2.59,0.0
DVL,Dhunseri Ventures Limited,24.38,-18.37,1.46,-0.85,5.3
DWARKESH,Dwarikesh Sugar Industries Limited,-15.0,-1.1,12.87,5.97,0.0
DYCL,Dynamic Cables Limited,23.16,2.48,-6.52,-6.09,0.0
DYNAMATECH,Dynamatic Technologies Limited,25.15,-15.06,-9.91,-7.54,3.8
DYNPRO,Dynemic Products Limited,-2.21,1.57,12.64,8.03,-7.2
E2E,E2E Networks Limited,14.04,-12.71,-1.82,-2.02,0.0
EASEMYTRIP,Easy Trip Planners Limited,-2.26,6.97,-4.13,-1.69,0.0
EASTSILK,Eastern Silk Industries Limited,-10.7,4.21,0.37,-0.41,5.4
EBGNG,GNG Electronics Limited,2.98,-8.0,9.11,6.74,0.0
ECLERX,eClerx Services Limited,4.76,-1.92,-10.66,-11.24,0.0
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,-6.93,-2.82,12.59,8.66,10.0
EDELWEISS,Edelweiss Financial Services Limited,11.21,9.05,-13.96,-10.07,0.0
EDUCOMP,Educomp Solutions Limited,2.64,4.47,-9.28,-8.35,0.0
EFCIL,EFC (I) Limited,13.84,-3.88,-8.18,-8.35,0.0
EICHERMOT,Eicher Motors Limited,16.33,-14.01,-4.02,-3.28,5.0
EIDPARRY,EID Parry India Limited,11.99,1.2,-5.74,-4.47,0.0
EIEL,Enviro Infra Engineers Limited,-8.1,10.04,-1.32,-0.04,-7.2
EIFFL,Euro India Fresh Foods Limited,-5.98,14.38,-11.2,-7.22,0.0
EIHAHOTELS,EIH Associated Hotels Limited,12.26,-2.21,-5.61,-2.94,0.0
EIHOTEL,EIH Limited,-7.17,6.27,-8.78,-4.9,0.0
EIMCOELECO,Eimco Elecon (India) Limited,16.65,-1.45,-10.44,-8.02,0.0
EKC,Everest Kanto Cylinder Limited,9.79,-2.21,-5.88,-0.82,0.0
ELANTAS,Elantas Beck India Limited,16.8,-0.68,-9.31,-8.01,0.0
ELCIDIN,EL CID Investments Limited,-11.11,13.97,-2.5,-0.96,2.8
ELDEHSG,Eldeco Housing And Industries Limited,-8.82,-0.95,4.25,2.32,0.0
ELECON,Elecon Engineering Company Limited,-26.54,13.0,6.42,2.15,0.0
ELECTCAST,Electrosteel Castings Limited,11.24,-7.31,-2.24,1.06,0.0
ELECTHERM,Electrotherm (India) Limited,3.42,-1.53,6.43,5.63,0.0
ELGIEQUIP,Elgi Equipments Limited,-7.98,-3.48,7.27,3.89,0.0
ELGIRUBCO,Elgi Rubber Company Limited,-12.15,-8.28,5.47,2.82,0.0
ELIN,Elin Electronics Limited,-2.62,12.03,-6.3,-8.96,0.0
ELITECON,Elitecon International Limited,-4.96,8.74,9.31,8.14,0.0
ELLEN,Ellenbarrie Industrial Gases Limited,11.09,-3.02,-11.87,-9.57,0.0
ELPROINTL,Elpro International Limited,4.75,-5.27,-12.28,-7.4,0.0
EMAMILTD,Emami Limited,-4.06,17.99,-10.22,-2.05,0.0
EMAMIPAP,Emami Paper Mills Limited,-5.8,2.06,4.9,5.38,5.5
EMAMIREAL,Emami Realty Limited,-4.07,4.02,6.07,5.5,0.0
EMBDL,Embassy Developments Limited,3.57,4.49,-11.36,-10.41,0.0
EMCURE,Emcure Pharmaceuticals Limited,-10.08,14.96,-14.31,-10.47,0.0
EMIL,Electronics Mart India Limited,0.29,-4.07,2.72,2.26,0.0
EMKAY,Emkay Global Financial Services Limited,4.42,5.16,-5.11,-0.07,0.0
EMMBI,Emmbi Industries Limited,-9.52,6.67,-6.22,-5.18,0.0
EMMVEE,Emmvee Photovoltaic Power Limited,-4.58,-0.84,-2.8,-2.39,0.0
EMPOWER,Empower India Limited,-7.78,3.24,1.02,1.32,0.0
EMSLIMITED,EMS Limited,-11.98,-5.75,6.21,3.28,0.0
EMUDHRA,eMudhra Limited,-16.05,19.18,0.03,-0.19,0.0
ENDURANCE,Endurance Technologies Limited,-5.51,-3.86,1.57,0.77,0.0
ENERGYDEV,Energy Development Company Limited,2.26,-18.11,5.47,4.23,0.0
ENGINERSIN,Engineers India Limited,-27.38,7.45,13.94,10.73,0.0
ENIL,Entertainment Network (India) Limited,1.41,-5.78,4.64,4.9,0.0
ENRIN,Siemens Energy India Limited,-13.02,-13.91,9.74,5.53,0.0
ENTERO,Entero Healthcare Solutions Limited,17.48,-3.12,-0.51,2.91,12.4
EPACK,EPACK Durable Limited,-2.66,5.79,5.5,0.81,5.7
EPACKPEB,EPack Prefab Technologies Limited,23.77,4.3,-15.1,-12.83,0.0
EPIGRAL,Epigral Limited,11.59,-8.91,0.26,1.09,0.0
EPL,EPL Limited,-23.77,15.25,5.34,7.44,0.0
EQUIPPP,Equippp Social Impact Technologies Limited,-20.5,6.49,-1.06,-1.85,0.0
EQUITASBNK,Equitas Small Finance Bank Limited,0.96,-11.94,11.82,5.91,0.0
ERIS,Eris Lifesciences Limited,12.5,-5.93,-6.51,-6.76,0.0
ESABINDIA,Esab India Limited,-2.95,6.23,-5.51,-3.8,11.8
ESAFSFB,ESAF Small Finance Bank Limited,-16.15,13.14,6.14,3.1,0.0
ESCORTS,Escorts Kubota Limited,-3.63,-6.55,3.29,-1.54,0.0
ESSARSHPNG,Essar Shipping Limited,-14.53,5.56,10.99,4.9,-3.3
ESSENTIA,Integra Essentia Limited,-1.46,-9.44,-1.09,-1.23,-12.2
ESTER,Ester Industries Limited,19.56,-8.09,-10.24,-5.81,12.1
ETERNAL,ETERNAL LIMITED,-0.11,1.47,-12.05,-7.89,6.0
ETHOSLTD,Ethos Limited,-10.36,4.09,9.45,6.84,0.0
EUREKAFORB,Eureka Forbes Limited,-10.81,6.64,5.58,3.63,0.0
